Function,ID,Name,Description,subcategories,Actual Score,Target Score
DE (functions/DE%20364de7cda7a7814f8791d81eaab8d9d7.csv),DE.AE,Adverse Event Analysis,"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents","DE.AE-02 (subcategories/DE%20AE-02%20364de7cda7a78150b0accb07add5662f.csv), DE.AE-03 (subcategories/DE%20AE-03%20364de7cda7a781809cc1ed7c0206539f.csv), DE.AE-04 (subcategories/DE%20AE-04%20364de7cda7a781f9a662d09676ecda2b.csv), DE.AE-06 (subcategories/DE%20AE-06%20364de7cda7a781fcaaa3e1fabac4919b.csv), DE.AE-07 (subcategories/DE%20AE-07%20364de7cda7a781f48f39ef072e22539a.csv), DE.AE-08 (subcategories/DE%20AE-08%20364de7cda7a781628e9ec279a0e8b4c3.csv)",2.9666666666666663,5
DE (functions/DE%20364de7cda7a7814f8791d81eaab8d9d7.csv),DE.CM,Continuous Monitoring,"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events","DE.CM-01 (subcategories/DE%20CM-01%20364de7cda7a78156ae77f5104ecff7ee.csv), DE.CM-02 (subcategories/DE%20CM-02%20364de7cda7a7813e9d05fa5001c932a9.csv), DE.CM-03 (subcategories/DE%20CM-03%20364de7cda7a781fcbef3c08f8c5b0b4b.csv), DE.CM-06 (subcategories/DE%20CM-06%20364de7cda7a781eb88eae119aaafbf1a.csv), DE.CM-09 (subcategories/DE%20CM-09%20364de7cda7a781449ef0d3c25847a673.csv)",3.16,5
GV (functions/GV%20364de7cda7a781fda12de0198c770669.csv),GV.OC,Organizational Context,"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood","GV.OC-01 (subcategories/GV%20OC-01%20364de7cda7a7817a9336d5ddc9d001ad.csv), GV.OC-02 (subcategories/GV%20OC-02%20364de7cda7a781da9e27d07b05768a8f.csv), GV.OC-03 (subcategories/GV%20OC-03%20364de7cda7a7815382a7f6076c7e6983.csv), GV.OC-04 (subcategories/GV%20OC-04%20364de7cda7a781b2bc4ff7e095cc53e5.csv), GV.OC-05 (subcategories/GV%20OC-05%20364de7cda7a781fd8cf7d492216bbd48.csv)",2.5200000000000005,5
GV (functions/GV%20364de7cda7a781fda12de0198c770669.csv),GV.OV,Oversight,"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy","GV.OV-01 (subcategories/GV%20OV-01%20364de7cda7a781399e81c65025797707.csv), GV.OV-02 (subcategories/GV%20OV-02%20364de7cda7a7812ba568dc20cd13516b.csv), GV.OV-03 (subcategories/GV%20OV-03%20364de7cda7a781449f32d10f5f4cc29b.csv)",3.1333333333333333,5
GV (functions/GV%20364de7cda7a781fda12de0198c770669.csv),GV.PO,Policy,"Organizational cybersecurity policy is established, communicated, and enforced","GV.PO-01 (subcategories/GV%20PO-01%20364de7cda7a781c99d64d7265f8d43d6.csv), GV.PO-02 (subcategories/GV%20PO-02%20364de7cda7a781ebb8add99a82ff7755.csv)",2.65,5
GV (functions/GV%20364de7cda7a781fda12de0198c770669.csv),GV.RM,Risk Management Strategy,"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions","GV.RM-01 (subcategories/GV%20RM-01%20364de7cda7a781f19169e7817fb831ed.csv), GV.RM-02 (subcategories/GV%20RM-02%20364de7cda7a781129fdbd16550a36428.csv), GV.RM-03 (subcategories/GV%20RM-03%20364de7cda7a781b0932dcc2f146088e5.csv), GV.RM-04 (subcategories/GV%20RM-04%20364de7cda7a7819da073e2594bba21f0.csv), GV.RM-05 (subcategories/GV%20RM-05%20364de7cda7a781feaadbe348a0c20bac.csv), GV.RM-06 (subcategories/GV%20RM-06%20364de7cda7a781d290eff6f35089af2a.csv), GV.RM-07 (subcategories/GV%20RM-07%20364de7cda7a781ff8049c7bd76a00958.csv)",2.6142857142857143,5
GV (functions/GV%20364de7cda7a781fda12de0198c770669.csv),GV.RR,"Roles, Responsibilities, and Authorities","Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated","GV.RR-01 (subcategories/GV%20RR-01%20364de7cda7a7819d823bcec996ebbbb3.csv), GV.RR-02 (subcategories/GV%20RR-02%20364de7cda7a78123963cfbec94b452ee.csv), GV.RR-03 (subcategories/GV%20RR-03%20364de7cda7a781adabc1d25427976b95.csv), GV.RR-04 (subcategories/GV%20RR-04%20364de7cda7a781369897ca56e20c83c7.csv)",2.425,5
GV (functions/GV%20364de7cda7a781fda12de0198c770669.csv),GV.SC,Cybersecurity Supply Chain Risk Management,"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders","GV.SC-01 (subcategories/GV%20SC-01%20364de7cda7a781c4a7e5dabeb8ec02b2.csv), GV.SC-02 (subcategories/GV%20SC-02%20364de7cda7a78106ba18e0a73f19cd93.csv), GV.SC-03 (subcategories/GV%20SC-03%20364de7cda7a781f3a4e7d1c9e7f58c0c.csv), GV.SC-04 (subcategories/GV%20SC-04%20364de7cda7a78193b180f263dea0fe9e.csv), GV.SC-05 (subcategories/GV%20SC-05%20364de7cda7a7819ea6a0d90cbefbc97a.csv), GV.SC-06 (subcategories/GV%20SC-06%20364de7cda7a7818da858f7a2f85b6a43.csv), GV.SC-07 (subcategories/GV%20SC-07%20364de7cda7a7812487ade3d527666a29.csv), GV.SC-08 (subcategories/GV%20SC-08%20364de7cda7a7819d9a13e68636364fd1.csv), GV.SC-09 (subcategories/GV%20SC-09%20364de7cda7a78115980fcafa0f1db775.csv), GV.SC-10 (subcategories/GV%20SC-10%20364de7cda7a7817995ffe0b0a55ab6f0.csv)",2.9699999999999993,5
ID (functions/ID%20364de7cda7a781f087cbed937e5ab69b.csv),ID.AM,Asset Management,"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy","ID.AM-01 (subcategories/ID%20AM-01%20364de7cda7a781c38b0cdbbc21b59026.csv), ID.AM-02 (subcategories/ID%20AM-02%20364de7cda7a781039f98e62ff832605f.csv), ID.AM-03 (subcategories/ID%20AM-03%20364de7cda7a78144a3f0da7faf2fee5f.csv), ID.AM-04 (subcategories/ID%20AM-04%20364de7cda7a7812bad5fe1ef3c757918.csv), ID.AM-05 (subcategories/ID%20AM-05%20364de7cda7a7819399abce642145a268.csv), ID.AM-07 (subcategories/ID%20AM-07%20364de7cda7a781fb8518da35bb7f7e50.csv), ID.AM-08 (subcategories/ID%20AM-08%20364de7cda7a781bd99aaeac08c2ff5c5.csv)",3.628571428571429,5
ID (functions/ID%20364de7cda7a781f087cbed937e5ab69b.csv),ID.IM,Improvement,"Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all CSF Functions","ID.IM-01 (subcategories/ID%20IM-01%20364de7cda7a781339204e2ac5b54c13c.csv), ID.IM-02 (subcategories/ID%20IM-02%20364de7cda7a781599e68fbb56a493cd1.csv), ID.IM-03 (subcategories/ID%20IM-03%20364de7cda7a781158ccde8ff6c66a02b.csv), ID.IM-04 (subcategories/ID%20IM-04%20364de7cda7a781c9876ac15fd73717f0.csv)",2.575,5
ID (functions/ID%20364de7cda7a781f087cbed937e5ab69b.csv),ID.RA,Risk Assessment,"The cybersecurity risk to the organization, assets, and individuals is understood by the organization","ID.RA-01 (subcategories/ID%20RA-01%20364de7cda7a7810ba907cdc5fd2d71e5.csv), ID.RA-02 (subcategories/ID%20RA-02%20364de7cda7a7813e9375da19d75ec22f.csv), ID.RA-03 (subcategories/ID%20RA-03%20364de7cda7a781689c60e71243903059.csv), ID.RA-04 (subcategories/ID%20RA-04%20364de7cda7a78132adf8d14cd36d3416.csv), ID.RA-05 (subcategories/ID%20RA-05%20364de7cda7a7810d898adfc0eb6d3157.csv), ID.RA-06 (subcategories/ID%20RA-06%20364de7cda7a781a383c2f739538d9e6c.csv), ID.RA-07 (subcategories/ID%20RA-07%20364de7cda7a781bcb304d5d52bfa511e.csv), ID.RA-08 (subcategories/ID%20RA-08%20364de7cda7a781949fd4daf501a8badc.csv), ID.RA-09 (subcategories/ID%20RA-09%20364de7cda7a781a4ba85ef65e014589b.csv), ID.RA-10 (subcategories/ID%20RA-10%20364de7cda7a781bea852ec1703643aa1.csv)",2.35,5
PR (functions/PR%20364de7cda7a7817a8e66de4734737f14.csv),PR.AA,"Identity Management, Authentication, and Access Control","Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","PR.AA-01 (subcategories/PR%20AA-01%20364de7cda7a7819b9503df9478ea1b1d.csv), PR.AA-02 (subcategories/PR%20AA-02%20364de7cda7a7817c928eed439e46e616.csv), PR.AA-03 (subcategories/PR%20AA-03%20364de7cda7a781bb9bf5ce907d8dbf33.csv), PR.AA-04 (subcategories/PR%20AA-04%20364de7cda7a7817482dce90f06616f35.csv), PR.AA-05 (subcategories/PR%20AA-05%20364de7cda7a78132876cf8fbe7a35ab1.csv), PR.AA-06 (subcategories/PR%20AA-06%20364de7cda7a78149b762d2f7156f8f5d.csv)",3.233333333333333,5
PR (functions/PR%20364de7cda7a7817a8e66de4734737f14.csv),PR.AT,Awareness and Training,The organization's personnel are provided with cybersecurity awareness and training so that they can perform their cybersecurity-related tasks,"PR.AT-01 (subcategories/PR%20AT-01%20364de7cda7a781eca2acc212f33e5d20.csv), PR.AT-02 (subcategories/PR%20AT-02%20364de7cda7a781d99fa0c7d1b051862d.csv)",2.1,5
PR (functions/PR%20364de7cda7a7817a8e66de4734737f14.csv),PR.DS,Data Security,"Data are managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information","PR.DS-01 (subcategories/PR%20DS-01%20364de7cda7a781619355f3f0ceba05f1.csv), PR.DS-02 (subcategories/PR%20DS-02%20364de7cda7a781b7826eebc04f12ebcc.csv), PR.DS-10 (subcategories/PR%20DS-10%20364de7cda7a78151b026e927029ebccf.csv), PR.DS-11 (subcategories/PR%20DS-11%20364de7cda7a781a19bf6ee0e19c20556.csv)",3.875,5
PR (functions/PR%20364de7cda7a7817a8e66de4734737f14.csv),PR.IR,Technology Infrastructure Resilience,"Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience","PR.IR-01 (subcategories/PR%20IR-01%20364de7cda7a781e19b84c2d9d274cc93.csv), PR.IR-02 (subcategories/PR%20IR-02%20364de7cda7a781cd871ce9e60d313198.csv), PR.IR-03 (subcategories/PR%20IR-03%20364de7cda7a7819495abd64d444254fe.csv), PR.IR-04 (subcategories/PR%20IR-04%20364de7cda7a78196898ae105d2363ea3.csv)",3.3499999999999996,5
PR (functions/PR%20364de7cda7a7817a8e66de4734737f14.csv),PR.PS,Platform Security,"The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability","PR.PS-01 (subcategories/PR%20PS-01%20364de7cda7a781a3a72efbe0432b0913.csv), PR.PS-02 (subcategories/PR%20PS-02%20364de7cda7a7819ab160d68819304407.csv), PR.PS-03 (subcategories/PR%20PS-03%20364de7cda7a7812b9b33c27cebbc9456.csv), PR.PS-04 (subcategories/PR%20PS-04%20364de7cda7a78114a980c5cfc872a978.csv), PR.PS-05 (subcategories/PR%20PS-05%20364de7cda7a781eda147db6aa29b423f.csv), PR.PS-06 (subcategories/PR%20PS-06%20364de7cda7a781c1ac5fe263b075d268.csv)",2.65,5
RC (functions/RC%20364de7cda7a7812588eef8936f15074f.csv),RC.CO,Incident Recovery Communication,Restoration activities are coordinated with internal and external parties,"RC.CO-03 (subcategories/RC%20CO-03%20364de7cda7a7810b964dc1d6c4629466.csv), RC.CO-04 (subcategories/RC%20CO-04%20364de7cda7a7810da114e396223b5194.csv)",2.85,5
