ID,Function,Function Description,Category ID,Category,Category Description,Subcategory ID,Subcategory Description,Implementation Example,Implementation Description,In Scope? ,Owner,Stakeholder(s),Auditor,NIST 800-53 Control Ref,Test Procedure(s),Q1 Actual Score,Q1 Target Score,Q1 Observations,Q1 Observation Date,Q1 Testing Status,Q1 Examine,Q1 Interview,Q1 Test,Q2 Actual Score,Q2 Target Score,Q2 Observations,Q2 Observation Date,Q2 Testing Status,Q2 Examine,Q2 Interview,Q2 Test,Q3 Actual Score,Q3 Target Score,Q3 Observations,Q3 Observation Date,Q3 Testing Status,Q3 Examine,Q3 Interview,Q3 Test,Q4 Actual Score,Q4 Target Score,Q4 Observations,Q4 Observation Date,Q4 Testing Status,Q4 Examine,Q4 Interview,Q4 Test,Remediation Owner,Remediation Due Date,Minimum Target,Action Plan,Artifact Name
DE.AE-02 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,Ex1: Use security information and event management (SIEM) or other tools to continuously monitor log events for known malicious and suspicious activity,Alma Security uses AWS CloudTrail and GuardDuty for SIEM-like log monitoring. Detection rules are tuned based on threat intelligence with current TTD at 9 hours. The Incident Response Enhancement project addresses 24/7 monitoring gaps. Log analysis covers malicious activity patterns across AWS accounts with expanded use cases added quarterly.,Yes,Nadia Khan,Gerry Callahan; Tigan Wang,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,"1. Review CloudTrail and GuardDuty configuration
2. Examine detection rule tuning
3. Verify TTD metrics
4. Assess 24/7 monitoring gaps",2,5,Per Internal Audit Q1 2026 assessment (IA-2026-001); see IA workpapers.,2026-03-10,Complete,Per IA workpapers,Per IA workpapers,Per IA workpapers,4,6,"AWS-native detection stack (CloudTrail, GuardDuty, VPC Flow Logs, DNS query logs) monitors log events for malicious activity; no third-party SIEM. TTD has improved from the 81-hour Oct 2024 baseline to 9 hours, but the Jan 2027 target is under 4 minutes and there is no 24/7 analysis coverage. The Incident Response Enhancement project ($150K) funds after-hours monitoring and expanded use cases.",2026-06-19,In Progress,"GuardDuty findings console, detection use-case inventory, TTD trend report",Nadia Khan (owner); Tigan Wang (operator),Replayed three benign-anomaly scenarios; two generated alerts within SLA,5,5,"Detection reached the passing bar this quarter: weekly ROC-cadence rule tuning is running, quarterly use-case expansion delivered the S3 and SSH lateral-movement detections, and self-measured TTD improved from 9 hours to roughly 6 hours. Coverage is consistent across all AWS accounts with exceptions tracked. After-hours analysis still depends on PagerDuty paging of on-call staff; the 24/7 rota from the IR Enhancement project is staffed for Q4 go-live.",2026-09-18,Complete,Detection rule change log; TTD weekly metric series; use-case backlog,Nadia Khan,Re-ran three GuardDuty findings end-to-end to measure detection-to-triage time,5,5,"Sustained at the passing bar with measurement discipline: the 24/7 alerting rota went live in December, TTD self-measures at roughly 4 hours against the January 2027 sub-four-minute commitment, and rule tuning held its weekly cadence through the quarter. Score holds at 5 rather than rising because full monitoring coverage and the minutes-grade target remain unmet — the remaining gap is capacity and automation, funded into 2027 (risk R3).",2026-12-11,Complete,Rota schedule and paging records; December TTD metric series,Nadia Khan,Verified after-hours alert acknowledged within rota SLA on two sampled nights,Nadia Khan,2027-01-31,6,"Complete IR Enhancement project: 24/7 alert coverage via PagerDuty rotation, quarterly use-case expansion, TTD measured weekly against the <4-minute Jan 2027 target (risk R3).",TTD trend dashboard Q2-2026
DE.AE-03 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-03,Information is correlated from multiple sources,"Ex2: Use event correlation technology (e.g., SIEM) to collect information captured by multiple sources","Event correlation uses: (1) CloudTrail aggregating API events across accounts, (2) GuardDuty correlating findings from multiple AWS sources, (3) custom scripts for cross-source analysis. Multi-account GuardDuty findings are centralized. Script updates planned to enhance correlation capabilities across additional sources.",Yes,Nadia Khan,Gerry Callahan,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,"1. Review CloudTrail aggregation
2. Examine GuardDuty correlation
3. Verify custom correlation scripts
4. Assess multi-account centralization",2,5,Per Internal Audit Q1 2026 assessment (IA-2026-001); see IA workpapers.,2026-03-10,Complete,Per IA workpapers,Per IA workpapers,Per IA workpapers,3,6,"Event correlation is limited to what GuardDuty natively joins across CloudTrail, VPC Flow, and DNS sources. There is no correlation layer spanning AWS, SentinelOne endpoint telemetry, Palo Alto logs, and the on-prem ALMA domain, so cross-source attack paths — the INC-2024-02 lateral-movement pattern — still require manual assembly by an analyst.",2026-06-19,Complete,"Detection architecture diagram, source-coverage matrix",Nadia Khan (owner),Traced a simulated multi-source event; correlation required manual pivoting across three consoles,3,5,"No score movement: cross-source correlation spanning AWS telemetry, SentinelOne, Palo Alto logs, and the on-prem ALMA domain still does not exist, and the INC-2024-02 lateral-movement pattern would still require manual assembly by an analyst. The Q3 evaluation of correlation options within the AWS-native stack completed and recommended building the top ten use cases incrementally; funding was approved late in the quarter, so implementation had not started at fieldwork close.",2026-09-17,Complete,Correlation options evaluation memo; approved use-case list,Nadia Khan,,3,5,"Held at 3 — the correlation build slipped behind the 24/7 rota and encryption work in the team's capacity queue (risk R1 in practice). Two of ten use cases are drafted, none in production. The honest read: correlation is the largest remaining DETECT gap for exactly the attack class we already experienced, and it carries into the FY2027 detection engineering plan with a March 2027 delivery commitment.",2026-12-10,Complete,Use-case build status; detection engineering FY2027 plan,Nadia Khan,,Nadia Khan,2026-11-30,5,Carry forward to FY2027: implement the ten approved cross-source correlation use cases starting with the INC-2024-02 SSH lateral-movement pattern; first two in production by 2027-03-31 (risk R3).,Source-coverage matrix v2
DE.AE-04 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-04,The estimated impact and scope of adverse events are understood,"Ex1: Use SIEMs or other tools to estimate impact and scope, and review and refine the estimates","Impact and scope estimation happens ad hoc during triage using GuardDuty severity and asset context from ServiceNow, but there is no documented estimation method and no refinement loop after incidents close. Post-incident reviews of the two 2024 incidents produced scope timelines retroactively, showing the capability exists in people, not process..",Yes,Nadia Khan,Gerry Callahan; Leila Haddad,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,3.5,5,"Impact and scope estimation happens ad hoc during triage using GuardDuty severity and asset context from ServiceNow, but there is no documented estimation method and no refinement loop after incidents close. Post-incident reviews of the two 2024 incidents produced scope timelines retroactively, showing the capability exists in people, not process.",2026-06-19,Complete,"Triage runbook, post-incident review reports for INC-2024-01 and INC-2024-02",Nadia Khan (owner),,4.5,5,"The impact and scope estimation step shipped into the triage runbook on schedule: analysts now record an initial blast-radius estimate with asset-criticality lookup from ServiceNow at declaration time. Execution is real but young — the September retro found estimates recorded on four of five qualifying events, with one missed during a busy on-call night. The monthly estimate-versus-actual review has run twice.",2026-09-16,Complete,Triage runbook v3; five most recent event records,Nadia Khan,Walked one live GuardDuty event through the new estimation step,5,5,"Consistent execution across the full quarter: every qualifying event carried a scope estimate, and the monthly retro loop is refining the estimation heuristics — December's review tightened the biometric-data-path multiplier after a November event under-scoped. The capability has moved from people to process, meeting the minimum bar with tracked exceptions and a working improvement loop.",2026-12-09,Complete,Q4 event records; retro minutes with heuristic changes,Nadia Khan,,Nadia Khan,2026-09-30,5,Add an impact/scope estimation step with asset-criticality lookup to the triage runbook; review estimates against actuals in monthly D&R retro (risk R3).,Triage runbook v3 draft
DE.AE-06 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-06,Information on adverse events is provided to authorized staff and tools,"Ex1: Use cybersecurity software to generate alerts and provide them to the security operations center (SOC), incident responders, and incident response tools",GuardDuty generates alerts routed to the security team via Slack with severity-based prioritization. SOC procedures define handoff between business hours staff and on-call rotation. Alert triage follows the priority matrix with escalation paths. Progress toward 24/7 coverage planned through STS1 hiring strategy.,Yes,Nadia Khan,Tigan Wang,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,"1. Review alert routing configuration
2. Examine SOC procedures
3. Verify on-call rotation
4. Assess alert triage effectiveness",2,5,Per Internal Audit Q1 2026 assessment (IA-2026-001); see IA workpapers.,2026-03-10,Complete,Per IA workpapers,Per IA workpapers,Per IA workpapers,4,6,"GuardDuty and CloudWatch alerts route to the D&R team via PagerDuty for after-hours paging, and Slack for business hours. Routing works but is single-threaded through the 15-person security team (risk R1) — no tiered escalation, and alert context does not auto-enrich with asset owner or criticality, so responders lose minutes on lookup.",2026-06-19,In Progress,"PagerDuty routing rules, Slack alert channel history sample",Nadia Khan (owner); Tigan Wang (operator),Fired a synthetic GuardDuty finding; page delivered in under 2 minutes with bare context,6,5,"Alert enrichment and escalation landed ahead of the October due date and pushed this control past target: alerts now auto-enrich with ServiceNow asset owner and criticality before paging, and the two-tier escalation path is documented and drill-tested. Time-lost-to-lookup, measured before and after, dropped materially, and the enrichment coverage metric is reviewed in the weekly D&R meeting — the control is now measured, not just performed.",2026-09-15,Complete,Enrichment pipeline config; escalation drill records; coverage metric dashboard,Nadia Khan,Triggered a synthetic alert and verified enriched context and tier-two escalation,6,5,"Sustained above target through the quarter with the 24/7 rota now consuming the enriched alerts: enrichment coverage held at 98 percent or better each month, and the December escalation drill met its timing thresholds. No regression observed; remaining single-threading risk is a staffing question (risk R1) rather than an alert-handling design gap, and it is tracked there rather than here.",2026-12-08,Complete,Monthly coverage metrics; December drill record,Nadia Khan,,Nadia Khan,2026-10-31,5,Auto-enrich alerts with ServiceNow asset context; define a two-tier escalation path as part of the Incident Response Enhancement project ($150K).,Alert routing config export
DE.AE-07 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-07,Cyber threat intelligence and other contextual information are integrated into the analysis,"Ex1: Securely provide cyber threat intelligence feeds to detection technologies, processes, and personnel","Threat intelligence consumption is limited to the feeds GuardDuty bundles natively. There is no curated CTI capability aligned to Alma's threat profile — extortion crews targeting biometric data, auth-bypass fraud actors, and supply-chain attackers — so detection engineering is not prioritized by who actually targets a continuous-authentication SaaS..",Yes,Nadia Khan,Gerry Callahan,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,3,5,"Threat intelligence consumption is limited to the feeds GuardDuty bundles natively. There is no curated CTI capability aligned to Alma's threat profile — extortion crews targeting biometric data, auth-bypass fraud actors, and supply-chain attackers — so detection engineering is not prioritized by who actually targets a continuous-authentication SaaS.",2026-06-19,Complete,"GuardDuty threat list configuration, detection backlog",Nadia Khan (owner),,3.5,5,"First real movement on threat intelligence: the five-actor threat profile (extortion crews, product fraud actors, supply-chain attackers, nation-state collection, insider risk) is now documented and mapped to detection coverage, exposing that most existing rules serve only the first actor class. The lightweight CTI intake — curated feeds triaged weekly against the actor map — began operating in September; it has not yet driven a detection-engineering cycle.",2026-09-17,Complete,"Threat-actor map; CTI intake log, first three weeks",Nadia Khan,,4.5,5,"The CTI loop closed its first full cycle: October intake produced the Q4 detection-engineering priorities, which shipped two fraud-actor detections on the product authentication path — the first coverage aimed at threat actor two. The process runs weekly with documented triage, but a single quarter of operation leaves reliability unproven; one more consistent cycle earns the passing score. Prioritization now genuinely reflects who targets a continuous-authentication SaaS.",2026-12-10,Complete,Q4 priority memo; shipped detection rules; weekly triage log,Nadia Khan,,Nadia Khan,2026-12-31,5,Sustain the weekly CTI cadence through Q1 2027 and ship the supply-chain actor detections (risk R6 linkage) to close the remaining gap to target.,Threat-profile-to-detection map v1
DE.AE-08 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-08,Incidents are declared when adverse events meet the defined incident criteria,Ex1: Apply incident criteria to known and assumed characteristics of activity in order to determine whether an incident should be declared,"Incident declaration follows documented criteria defining thresholds by severity level. The SOC Manager has authority to declare incidents when adverse events meet criteria. The process includes: (1) applying criteria to event characteristics, (2) documenting declaration rationale in tickets, (3) lessons learned feeding continuous improvement.",Yes,Nadia Khan,Gerry Callahan; Chris Meyers,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,"1. Review incident declaration criteria
2. Examine sample declarations
3. Verify SOC Manager authority
4. Assess lessons learned integration",2,5,Per Internal Audit Q1 2026 assessment (IA-2026-001); see IA workpapers.,2026-03-10,Complete,Per IA workpapers,Per IA workpapers,Per IA workpapers,6,6,"Incident declaration criteria were rebuilt after the 2024 incidents and are now the strongest link in the DETECT chain: documented thresholds by event type, a named declaration authority (D&R Lead, CISO backup), and declaration drill-tested quarterly. Both tabletop exercises this year declared within criteria, and the metric (time-to-declaration) is tracked and reviewed monthly.",2026-06-19,Complete,"Incident declaration criteria doc, Q1 and Q2 tabletop reports",Nadia Khan (owner),Walked through declaration decision tree against the INC-2024-02 fact pattern; correct outcome,6,5,"Incident declaration criteria remain the strongest DETECT control and held above target: the Q3 tabletop declared within criteria, time-to-declaration stayed within threshold on both real events this quarter, and the metric review continued monthly. The criteria were extended with a data-exposure declaration path informed by the INC-2024-01 pattern, keeping the control aligned with the threat profile as detection coverage expands upstream.",2026-09-12,Complete,Declaration criteria v4; tabletop record; monthly metric reviews,Nadia Khan,Tabletop exercise included declaration-timing verification,6,5,"Sustained above target: the December ransomware tabletop — run jointly with the recovery exercise — declared within criteria, and all real declarations this quarter met the timing threshold with the 24/7 rota now holding declaration authority after hours under the documented backup chain. Twelve consecutive months at or above target with measurement make this the reference control for the DETECT function.",2026-12-05,Complete,Q4 declarations; joint tabletop record; rota authority documentation,Nadia Khan,,,,5,,Declaration criteria v2 + tabletop reports
DE.CM-01 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-01,Networks and network services are monitored to find potentially adverse events,"Ex1: Monitor DNS, BGP, and other network services for adverse events","Network monitoring is performed through: (1) CloudTrail for API activity, (2) VPC Flow Logs for network traffic, (3) DNS query logging. The selected ASM vendor will provide external perimeter monitoring. SOC dashboards display network service status with alerting for anomalies. Coverage expands per the implementation plan.",Yes,Nadia Khan,Chris Magann; Gerry Callahan,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,"1. Review network monitoring tools
2. Verify CloudTrail and VPC Flow Logs
3. Assess ASM vendor selection progress
4. Examine SOC dashboards",2,5,Per Internal Audit Q1 2026 assessment (IA-2026-001); see IA workpapers.,2026-03-10,Complete,Per IA workpapers,Per IA workpapers,Per IA workpapers,4,6,"Internal network monitoring is solid on AWS (VPC Flow Logs, DNS query logs) but the external perimeter is still scanned only bimonthly with no continuous discovery — risk R2, the register's most exposed gap for an internet-facing authentication product. The ASM implementation ($100K) is mid-deployment; the original 2026-06 target has slipped to 2026-09.",2026-06-19,In Progress,"VPC Flow Log coverage report, last two bimonthly external scan reports, ASM project plan",Nadia Khan (owner); Chris Magann (VM Lead),Verified an intentionally exposed test port surfaced in the last scan cycle — 41 days after exposure,4,5,"The ASM deployment completed its discovery phase in September — external scanning now runs continuously and found eleven previously unknown internet-facing assets in its first month, validating the risk R2 premise. The score holds at 4 because triage discipline is not yet real: the 48-hour triage SLA for new exposures was met for only about half of findings, and ownership assignment depends on the asset inventory work that has slipped (risk R4, revised to March 2027).",2026-09-19,Complete,"ASM discovery reports; triage SLA records, first month",Nadia Khan,Verified a newly exposed test service appeared in ASM within 24 hours,4,5,"Held at 4: continuous external discovery is running and the perimeter is no longer dark between scans, but the control cannot pass while triage of what discovery finds remains unreliable — December SLA compliance was 62 percent, constrained by unclear asset ownership pending the inventory rebuild (risk R4). The gap has moved from visibility to accountability; the fix is the inventory completion, not more scanning.",2026-12-11,Complete,Q4 ASM findings and SLA compliance report,Nadia Khan,,Nadia Khan,2026-09-30,6,"Tie exposure triage to the rebuilt asset inventory (risk R4, revised 2027-03): every ASM finding auto-assigns an owner from inventory data; SLA compliance target 90 percent by 2027-06 (risk R2).",ASM deployment status report
DE.CM-02 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-02,The physical environment is monitored to find potentially adverse events,"Ex1: Monitor logs from physical access control systems (e.g., badge readers) to find unusual access patterns (e.g., deviations from the norm) and failed access attempts","Badge-reader logs exist for the Redwood City HQ and the server room housing the ALMA domain controller, but nobody reviews them on a cadence — they are pulled only when an investigation asks. Failed-access alerting is not configured.",Yes,Nadia Khan,Marcus Lee,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,3.5,5,"Badge-reader logs exist for the Redwood City HQ and the server room housing the ALMA domain controller, but nobody reviews them on a cadence — they are pulled only when an investigation asks. Failed-access alerting is not configured. Physical monitoring is proportionate to a 300-person single-site company, yet the review loop is missing.",2026-06-19,Complete,"Badge system log retention settings, sample month of access logs",Nadia Khan (owner),,4.5,5,"The August remediation landed: failed-access and after-hours alerts from the badge system now post to the D&R Slack channel, and the monthly fifteen-minute badge-log review is on the D&R checklist with two completed cycles. Execution is new enough that one review ran a week late, and alert thresholds are still generating occasional noise from the cleaning crew's after-hours entries — tuning is in progress.",2026-09-13,Complete,Alert configuration; two monthly review records,Nadia Khan,Badge failed-access test generated a Slack alert within one minute,5,5,"Consistent execution reached: all three monthly badge-log reviews completed on schedule, after-hours alert noise was tuned out with a scheduled-access exception list, and the December review flagged and resolved one genuine anomaly — a terminated contractor badge that HR offboarding had missed, which also fed a fix into the Workday deprovisioning trigger. Proportionate physical monitoring for a single-site company, now with the loop closed.",2026-12-08,Complete,Q4 review records; anomaly ticket and resolution,Nadia Khan,,Nadia Khan,2026-08-31,5,Configure failed-access and after-hours alerts into the D&R Slack channel; add a monthly 15-minute badge-log review to the D&R checklist.,Badge alert config screenshot
DE.CM-03 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-03,Personnel activity and technology usage are monitored to find potentially adverse events,Ex2: Monitor logs from logical access control systems to find unusual access patterns and failed access attempts,"Personnel activity monitoring includes: (1) CloudTrail logging all IAM actions, (2) SSO authentication logs via Windows Authenticator and Palo Alto 2FA, (3) failed authentication alerting and tracking. The IAM team reviews anomalies daily. SOC dashboards (60% complete) will provide consolidated access pattern visibility.",Yes,Nadia Khan,Gerry Callahan,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,"1. Review CloudTrail IAM logging
2. Examine SSO authentication logs
3. Verify failed authentication alerting
4. Assess SOC dashboard progress",2,5,Per Internal Audit Q1 2026 assessment (IA-2026-001); see IA workpapers.,2026-03-10,Complete,Per IA workpapers,Per IA workpapers,Per IA workpapers,3,6,"Logical access monitoring covers AWS well via CloudTrail, but the on-prem ALMA Windows domain — including the 2012 fileserver — generates authentication logs that reach no monitored destination. Unusual-pattern detection for workforce accounts is not implemented; the INC-2024-02 SSH key abuse would still be visible only in AWS-side telemetry today.",2026-06-19,Complete,"CloudTrail IAM event coverage, domain controller audit policy",Nadia Khan (owner),Failed domain logon burst on a test account generated no alert,3,5,"No score movement: ALMA domain authentication logs — including the 2012 fileserver — still reach no monitored destination, and workforce anomalous-pattern detection remains unimplemented, so the on-prem half of the INC-2024-02 pattern is still invisible. Log shipping design was completed alongside the PR.PS-04 central-storage work, but implementation queued behind the rota and encryption deliverables in the team's capacity plan.",2026-09-17,Complete,Log shipping design doc; capacity plan showing sequencing,Nadia Khan,,3,5,"Held at 3 with a nuance worth recording: domain logs began shipping to central storage in December under the PR.PS-04 work, so generation and retention now exist — but no detections consume them, and impossible-travel and failed-logon analytics remain unbuilt, so monitoring value is still zero. The fileserver's December decommission shrinks the on-prem log surface. Detection build is committed in the FY2027 plan alongside the correlation use cases.",2026-12-10,Complete,Central storage ingestion records; FY2027 detection plan,Nadia Khan,,Nadia Khan,2026-11-30,5,Build failed-logon and impossible-travel detections on the now-centralized domain logs by 2027-03-31; validate against the INC-2024-02 pattern replay (risk R3).,Log source onboarding plan
DE.CM-06 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-06,External service provider activities and services are monitored to find potentially adverse events,Ex1: Monitor remote and onsite administration and maintenance activities that external providers perform on organizational systems,"External provider activity is not distinctly monitored: vendor and contractor sessions blend into normal telemetry, and the contractor-laptop origin of INC-2024-02 shows the cost. ServiceNow tracks which suppliers have access, but there is no linkage from that inventory to session-level monitoring or alerting on anomalous vendor behavior — a gap that compounds risk R6..",Yes,Nadia Khan,Leila Haddad; Gerry Callahan,Leila Haddad (Security GRC Lead) - CISO management self-assessment,,,,,,,,,,,3,5,"External provider activity is not distinctly monitored: vendor and contractor sessions blend into normal telemetry, and the contractor-laptop origin of INC-2024-02 shows the cost. ServiceNow tracks which suppliers have access, but there is no linkage from that inventory to session-level monitoring or alerting on anomalous vendor behavior — a gap that compounds risk R6.",2026-06-19,Complete,"Supplier access inventory in ServiceNow, contractor access provisioning records",Nadia Khan (owner); Leila Haddad (TPRM lead),,3.5,5,"Vendor identity tagging started: contractor and supplier accounts in AWS and the ALMA domain are now labeled with their ServiceNow supplier record, covering roughly 70 percent of known external identities. Tagging alone changes nothing an attacker sees — no alerting consumes the tags yet — but it is the prerequisite that makes vendor-scoped monitoring possible, and it surfaced four orphaned contractor accounts that were disabled on discovery.",2026-09-16,Complete,Identity tag coverage report; orphaned account tickets,Nadia Khan,,4,5,"First monitoring value delivered: out-of-hours and out-of-scope access alerts are live for the eight critical-tier suppliers, including both biometric-data processors, and fired twice in December — one confirmed benign maintenance window, one policy conversation with the vendor. Coverage below the critical tier remains tag-only, and TPRM criticality data does not yet auto-drive detection priority. Meaningful progress on risk R6, still short of consistent full-scope execution.",2026-12-09,Complete,Alert configurations; two December alert dispositions,Nadia Khan,Simulated after-hours vendor login generated the expected alert,Nadia Khan,2026-12-31,5,Extend vendor-scoped alerting from the critical tier to all tiered suppliers and auto-join TPRM criticality to detection priority by 2027-06-30 (risk R6).,Vendor identity tagging design
