Function,ID,Name,Description,subcategories,Actual Score,Target Score
DE (functions/DE%206a7a33f74f05512596513064ee131420.csv),DE.AE,Adverse Event Analysis,"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents","DE.AE-02 (subcategories/DE%20AE-02%20af5383d762a433c7b4166c0f3bbdacd1.csv), DE.AE-06 (subcategories/DE%20AE-06%20cac879ed6686d787c88b6f51b124fd93.csv), DE.AE-03 (subcategories/DE%20AE-03%20c691dc60538e2a366a9c5a2d0a9ef69e.csv), DE.AE-08 (subcategories/DE%20AE-08%2069ff4ddcff860bb79e031bad437711e8.csv), DE.AE-04 (subcategories/DE%20AE-04%20bc36af4080242f837ba2eb1694426024.csv), DE.AE-07 (subcategories/DE%20AE-07%2040c4872980406639bd488edc7b06ae78.csv)",3.3333333333333335,3.3333333333333335
DE (functions/DE%206a7a33f74f05512596513064ee131420.csv),DE.CM,Continuous Monitoring,"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events","DE.CM-01 (subcategories/DE%20CM-01%201904df802c5a7b767233f66889cad728.csv), DE.CM-03 (subcategories/DE%20CM-03%20e8a1583864a3ef698d3ae7dbcaa714c0.csv), DE.CM-09 (subcategories/DE%20CM-09%20014f6f76a6a4203e55a6a852c5d629ac.csv), DE.CM-02 (subcategories/DE%20CM-02%207baae7750978066ef09218dbc4b3e827.csv), DE.CM-06 (subcategories/DE%20CM-06%2065d54a6672bda1c4d479fcb665a4f2cd.csv)",2,3
GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),GV.OC,Organizational Context,"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood","GV.OC-01 (subcategories/GV%20OC-01%2038324c9b2a1d6a2189ed6fabc3b29e6b.csv), GV.OC-02 (subcategories/GV%20OC-02%2027589a1c3ee61d5abacf3c54955a287f.csv), GV.OC-03 (subcategories/GV%20OC-03%20a5b67b62dbd7570128cc8268dcc2fda1.csv), GV.OC-04 (subcategories/GV%20OC-04%20665a6f2de0215fce0f964de85190969c.csv), GV.OC-05 (subcategories/GV%20OC-05%20dba87131fc2cf3c35215d1b18b7c1577.csv)",2.5,2
GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),GV.OV,Oversight,"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy","GV.OV-01 (subcategories/GV%20OV-01%20f431010915fdac6ce0692077582533da.csv), GV.OV-02 (subcategories/GV%20OV-02%201b846eced3e133fa1b4afc044536fdd3.csv), GV.OV-03 (subcategories/GV%20OV-03%203647cb2fecddb695c4a93a02d1eb7d5b.csv)",2.1666666666666665,1.6666666666666667
GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),GV.PO,Policy,"Organizational cybersecurity policy is established, communicated, and enforced","GV.PO-01 (subcategories/GV%20PO-01%209c4aea8044e09afc945c765f24a35d89.csv), GV.PO-02 (subcategories/GV%20PO-02%202d9f8bfc632b7e32cf6b4170ce32f9cd.csv)",0,0
GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),GV.RM,Risk Management Strategy,"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions","GV.RM-01 (subcategories/GV%20RM-01%20512c336ccc8cc85027b43a4e601fb037.csv), GV.RM-02 (subcategories/GV%20RM-02%2096b96d6154273ac1b124af8e9f517c3c.csv), GV.RM-03 (subcategories/GV%20RM-03%2013e4ff6b6210974897e702f5fb7d2564.csv), GV.RM-04 (subcategories/GV%20RM-04%20b4864581650733903c4a33a1da5d0978.csv), GV.RM-05 (subcategories/GV%20RM-05%2052654e8afd07bebb7b9a5ef4663943df.csv), GV.RM-06 (subcategories/GV%20RM-06%20f376f94d62611fce1b67981a111b4cea.csv), GV.RM-07 (subcategories/GV%20RM-07%20a11e7144d656eed5318d63b8594066f4.csv)",0.9285714285714286,0.7142857142857143
GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),GV.RR,"Roles, Responsibilities, and Authorities","Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated","GV.RR-02 (subcategories/GV%20RR-02%20d7d948b3de1a65c6c7accd8fd8f3833e.csv), GV.RR-01 (subcategories/GV%20RR-01%209841da9fb801980eaa8f60eac09c90d3.csv), GV.RR-03 (subcategories/GV%20RR-03%205568d55dc462ca8416ead4c3e940ebda.csv), GV.RR-04 (subcategories/GV%20RR-04%20daeab70cb6e7ae5656357504ecfbbd2c.csv)",3,2.5
GV (functions/GV%2014c28856c35b324b9a2752f658c7d743.csv),GV.SC,Cybersecurity Supply Chain Risk Management,"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders","GV.SC-04 (subcategories/GV%20SC-04%207091be72aae3c7f93978a866a605f544.csv), GV.SC-01 (subcategories/GV%20SC-01%20bfe8b74c0939c628882ee91faaaf6c56.csv), GV.SC-02 (subcategories/GV%20SC-02%20ebe40b87d702abde234ee9c22f33e353.csv), GV.SC-06 (subcategories/GV%20SC-06%20e1c1532f740b68250b81e15c6858ee30.csv), GV.SC-10 (subcategories/GV%20SC-10%2006c89bc28a0902a4fd8aaf13a43fd69e.csv), GV.SC-09 (subcategories/GV%20SC-09%20cf4ae135ebbd0ddbf4d0b688d1d09dcb.csv), GV.SC-03 (subcategories/GV%20SC-03%2041a9707b442a66607fdb0e5372c5b5cb.csv), GV.SC-05 (subcategories/GV%20SC-05%206717e4ee9d7147105dca4e53854418b2.csv), GV.SC-07 (subcategories/GV%20SC-07%201c954c667f5b63641c197451c195e470.csv), GV.SC-08 (subcategories/GV%20SC-08%20dc52b2f0ac3e75a95f8fe3360e5256a2.csv)",3.55,3
ID (functions/ID%20cbfbcfb32ba15290c21c768657ace43e.csv),ID.AM,Asset Management,"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy","ID.AM-02 (subcategories/ID%20AM-02%2031c891d0d7a351177ebe5186be8d68ba.csv), ID.AM-07 (subcategories/ID%20AM-07%2073b1bca850e35c29151802797db9dee3.csv), ID.AM-01 (subcategories/ID%20AM-01%202924f4951c8303447e9d0ab81f46c8ca.csv), ID.AM-03 (subcategories/ID%20AM-03%20a5b8b4a4592545d415f0244b7662f178.csv), ID.AM-04 (subcategories/ID%20AM-04%20cc049a2e03b8e6e88a40506d466dc6fe.csv), ID.AM-05 (subcategories/ID%20AM-05%208f7e5ed961aba14b698b5f0706fb6d24.csv), ID.AM-08 (subcategories/ID%20AM-08%201f614c3fd301914d977700fad1248be4.csv)",0.8571428571428571,1.4285714285714286
ID (functions/ID%20cbfbcfb32ba15290c21c768657ace43e.csv),ID.IM,Improvement,"Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all CSF Functions","ID.IM-01 (subcategories/ID%20IM-01%209d834b3345dcd397c159d12c004d5f05.csv), ID.IM-02 (subcategories/ID%20IM-02%20552f3db807d8e954afd9ced4d1f11540.csv), ID.IM-03 (subcategories/ID%20IM-03%20647af6b1ed2af4374b102346a43c8e05.csv), ID.IM-04 (subcategories/ID%20IM-04%203546a9091c52ccc64832f364ccd32bfe.csv)",0.75,1.25
